# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] NaiveBayes(nominal_attributes=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=255924, max_time=inf, metrics=['accuracy', 'kappa', 'precision', 'recall'], n_wait=2, output_file='results.csv', pretrain_size=255800, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0],mean_precision_[M0],current_precision_[M0],mean_recall_[M0],current_recall_[M0]
255800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255801,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255802,0.666667,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255803,0.750000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255804,0.800000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255805,0.833333,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255806,0.857143,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255807,0.875000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255808,0.888889,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255809,0.900000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255810,0.909091,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255811,0.916667,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255812,0.923077,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255813,0.928571,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255814,0.933333,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255815,0.937500,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255816,0.941176,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255817,0.944444,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255818,0.947368,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255819,0.950000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255820,0.952381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255821,0.954545,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255822,0.956522,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255823,0.958333,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
255824,0.920000,0.500000,-0.041667,0.000000,0.000000,0.000000,0.000000,0.000000
255825,0.923077,0.500000,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
255826,0.925926,1.000000,-0.038462,0.000000,0.000000,0.000000,0.000000,0.000000
255827,0.928571,1.000000,-0.037037,0.000000,0.000000,0.000000,0.000000,0.000000
255828,0.931034,1.000000,-0.035714,0.000000,0.000000,0.000000,0.000000,0.000000
255829,0.933333,1.000000,-0.034483,0.000000,0.000000,0.000000,0.000000,0.000000
255830,0.935484,1.000000,-0.033333,0.000000,0.000000,0.000000,0.000000,0.000000
255831,0.937500,1.000000,-0.032258,0.000000,0.000000,0.000000,0.000000,0.000000
255832,0.939394,1.000000,-0.031250,0.000000,0.000000,0.000000,0.000000,0.000000
255833,0.941176,1.000000,-0.030303,0.000000,0.000000,0.000000,0.000000,0.000000
255834,0.914286,0.500000,-0.039604,0.000000,0.000000,0.000000,0.000000,0.000000
255835,0.888889,0.000000,-0.043478,0.000000,0.000000,0.000000,0.000000,0.000000
255836,0.891892,0.500000,-0.042254,0.000000,0.000000,0.000000,0.000000,0.000000
255837,0.894737,1.000000,-0.041096,0.000000,0.000000,0.000000,0.000000,0.000000
255838,0.897436,1.000000,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
255839,0.875000,0.500000,-0.041667,0.000000,0.000000,0.000000,0.000000,0.000000
255840,0.853659,0.000000,-0.042373,0.000000,0.000000,0.000000,0.000000,0.000000
255841,0.833333,0.000000,-0.042553,0.000000,0.000000,0.000000,0.000000,0.000000
255842,0.813953,0.000000,-0.042424,0.000000,0.000000,0.000000,0.000000,0.000000
255843,0.795455,0.000000,-0.042105,0.000000,0.000000,0.000000,0.000000,0.000000
255844,0.800000,0.500000,-0.041131,0.000000,0.000000,0.000000,0.000000,0.000000
255845,0.804348,1.000000,-0.040201,0.000000,0.000000,0.000000,0.000000,0.000000
255846,0.808511,1.000000,-0.039312,0.000000,0.000000,0.000000,0.000000,0.000000
255847,0.812500,1.000000,-0.038462,0.000000,0.000000,0.000000,0.000000,0.000000
255848,0.816327,1.000000,-0.037647,0.000000,0.000000,0.000000,0.000000,0.000000
255849,0.820000,1.000000,-0.036866,0.000000,0.000000,0.000000,0.000000,0.000000
255850,0.803922,0.500000,-0.066946,0.000000,0.000000,0.000000,0.000000,0.000000
255851,0.788462,0.000000,-0.091603,0.000000,0.000000,0.000000,0.000000,0.000000
255852,0.792453,0.500000,-0.089720,0.000000,0.000000,0.000000,0.000000,0.000000
255853,0.796296,1.000000,-0.087912,0.000000,0.000000,0.000000,0.000000,0.000000
255854,0.800000,1.000000,-0.086176,0.000000,0.000000,0.000000,0.000000,0.000000
255855,0.803571,1.000000,-0.084507,0.000000,0.000000,0.000000,0.000000,0.000000
255856,0.807018,1.000000,-0.082902,0.000000,0.000000,0.000000,0.000000,0.000000
255857,0.810345,1.000000,-0.081356,0.000000,0.000000,0.000000,0.000000,0.000000
255858,0.813559,1.000000,-0.079867,0.000000,0.000000,0.000000,0.000000,0.000000
255859,0.816667,1.000000,-0.078431,0.000000,0.000000,0.000000,0.000000,0.000000
255860,0.819672,1.000000,-0.077047,0.000000,0.000000,0.000000,0.000000,0.000000
255861,0.822581,1.000000,-0.075710,0.000000,0.000000,0.000000,0.000000,0.000000
255862,0.825397,1.000000,-0.074419,0.000000,0.000000,0.000000,0.000000,0.000000
255863,0.828125,1.000000,-0.073171,0.000000,0.000000,0.000000,0.000000,0.000000
255864,0.830769,1.000000,-0.071964,0.000000,0.000000,0.000000,0.000000,0.000000
255865,0.833333,1.000000,-0.070796,0.000000,0.000000,0.000000,0.000000,0.000000
255866,0.820896,0.500000,-0.072000,0.000000,0.000000,0.000000,0.000000,0.000000
255867,0.808824,0.000000,-0.072816,0.000000,0.000000,0.000000,0.000000,0.000000
255868,0.797101,0.000000,-0.073333,0.000000,0.000000,0.000000,0.000000,0.000000
255869,0.785714,0.000000,-0.073620,0.000000,0.000000,0.000000,0.000000,0.000000
255870,0.774648,0.000000,-0.073724,0.000000,0.000000,0.000000,0.000000,0.000000
255871,0.777778,0.500000,-0.072626,0.000000,0.000000,0.000000,0.000000,0.000000
255872,0.780822,1.000000,-0.071560,0.000000,0.000000,0.000000,0.000000,0.000000
255873,0.783784,1.000000,-0.070524,0.000000,0.000000,0.000000,0.000000,0.000000
255874,0.786667,1.000000,-0.069519,0.000000,0.000000,0.000000,0.000000,0.000000
255875,0.789474,1.000000,-0.068541,0.000000,0.000000,0.000000,0.000000,0.000000
255876,0.792208,1.000000,-0.067591,0.000000,0.000000,0.000000,0.000000,0.000000
255877,0.782051,0.500000,-0.085106,0.000000,0.000000,0.000000,0.000000,0.000000
255878,0.772152,0.000000,-0.100619,0.000000,0.000000,0.000000,0.000000,0.000000
255879,0.775000,0.500000,-0.099237,0.000000,0.000000,0.000000,0.000000,0.000000
255880,0.777778,1.000000,-0.097892,0.000000,0.000000,0.000000,0.000000,0.000000
255881,0.780488,1.000000,-0.096582,0.000000,0.000000,0.000000,0.000000,0.000000
255882,0.783133,1.000000,-0.095308,0.000000,0.000000,0.000000,0.000000,0.000000
255883,0.785714,1.000000,-0.094067,0.000000,0.000000,0.000000,0.000000,0.000000
255884,0.788235,1.000000,-0.092857,0.000000,0.000000,0.000000,0.000000,0.000000
255885,0.790698,1.000000,-0.091678,0.000000,0.000000,0.000000,0.000000,0.000000
255886,0.793103,1.000000,-0.090529,0.000000,0.000000,0.000000,0.000000,0.000000
255887,0.795455,1.000000,-0.089409,0.000000,0.000000,0.000000,0.000000,0.000000
255888,0.797753,1.000000,-0.088315,0.000000,0.000000,0.000000,0.000000,0.000000
255889,0.800000,1.000000,-0.087248,0.000000,0.000000,0.000000,0.000000,0.000000
255890,0.802198,1.000000,-0.086207,0.000000,0.000000,0.000000,0.000000,0.000000
255891,0.804348,1.000000,-0.085190,0.000000,0.000000,0.000000,0.000000,0.000000
255892,0.806452,1.000000,-0.084197,0.000000,0.000000,0.000000,0.000000,0.000000
255893,0.808511,1.000000,-0.083227,0.000000,0.000000,0.000000,0.000000,0.000000
255894,0.810526,1.000000,-0.082278,0.000000,0.000000,0.000000,0.000000,0.000000
255895,0.812500,1.000000,-0.081352,0.000000,0.000000,0.000000,0.000000,0.000000
255896,0.814433,1.000000,-0.080446,0.000000,0.000000,0.000000,0.000000,0.000000
255897,0.816327,1.000000,-0.079559,0.000000,0.000000,0.000000,0.000000,0.000000
255898,0.818182,1.000000,-0.078692,0.000000,0.000000,0.000000,0.000000,0.000000
255899,0.820000,1.000000,-0.077844,0.000000,0.000000,0.000000,0.000000,0.000000
255900,0.821782,1.000000,-0.077014,0.000000,0.000000,0.000000,0.000000,0.000000
255901,0.823529,1.000000,-0.076202,0.000000,0.000000,0.000000,0.000000,0.000000
255902,0.825243,1.000000,-0.075406,0.000000,0.000000,0.000000,0.000000,0.000000
255903,0.826923,1.000000,-0.074627,0.000000,0.000000,0.000000,0.000000,0.000000
255904,0.828571,1.000000,-0.073864,0.000000,0.000000,0.000000,0.000000,0.000000
